"class","variable","glm_coef","glm_pval","ridge_coef","lasso_coef","elastic_coef","glm_selected","ridge_selected","lasso_selected","elastic_selected","Boruta"
"1","Nasal_breathing_therapy_Asthma.rescue.spray",NA,NA,-0.184100364501182,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Asthma.rescue.spray",8.49992072137954,0,0.612565999130663,0,0.176306610469631,TRUE,TRUE,FALSE,TRUE,"Rejected"
"3","Nasal_breathing_therapy_Asthma.rescue.spray",-3.24712488851502,0,-0.217953336894992,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Asthma.rescue.spray",-2.71128049448509,0,-0.21051229773449,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Corticoid.inhalation",NA,NA,-0.1721337726671,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Corticoid.inhalation",NA,NA,-0.157648771863923,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Corticoid.inhalation",NA,NA,0.478633277933616,0,0.130703491110945,FALSE,TRUE,FALSE,TRUE,"Rejected"
"4","Nasal_breathing_therapy_Corticoid.inhalation",NA,NA,-0.148850733402592,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Cortisone.spray",NA,NA,-0.187177589689977,0,-0.172105213331955,FALSE,TRUE,FALSE,TRUE,"Rejected"
"2","Nasal_breathing_therapy_Cortisone.spray",7.04625329260515,0,-0.0577773439176777,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Cortisone.spray",7.66880425942153,0,0.19443483924943,0,0.162435740779038,TRUE,TRUE,FALSE,TRUE,"Rejected"
"4","Nasal_breathing_therapy_Cortisone.spray",6.8590430750491,0,0.0505200943582246,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Doprident..medication.",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Doprident..medication.",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Doprident..medication.",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Doprident..medication.",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Hyposensitization",NA,NA,0.142447733147386,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Hyposensitization",-3.26674442942597,0.000228351488147149,0.100610641795018,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Hyposensitization",-2.67489508807587,0.00449289338934888,-0.0245363164905788,0,0,TRUE,FALSE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Hyposensitization",-12.474930647506,0,-0.218522058451826,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Nasal.mucosa.surgery",NA,NA,0.738124394205704,0.246198737238679,1.27304255622262,FALSE,TRUE,TRUE,TRUE,"Rejected"
"2","Nasal_breathing_therapy_Nasal.mucosa.surgery",-17.9725717118283,0,-0.261777593254422,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Nasal.mucosa.surgery",-6.02670393607302,0,-0.255224112378829,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Nasal.mucosa.surgery",-13.6979159131313,0,-0.221122688572453,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_No.therapy",NA,NA,-0.00486098261658736,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_No.therapy",0.127442132371,0.838454769832076,0.0406309019611561,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_No.therapy",-0.0967251603024176,0.870777022593507,-0.0569867176040428,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_No.therapy",0.644162183226419,0.25569478527802,0.0212167982594741,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Obstructive.Sleep.Apnea.Syndrome",NA,NA,0.201228609892641,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Obstructive.Sleep.Apnea.Syndrome",NA,NA,0.120690141889827,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Obstructive.Sleep.Apnea.Syndrome",NA,NA,-0.192914981760168,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Obstructive.Sleep.Apnea.Syndrome",NA,NA,-0.1290037700223,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Ointment",NA,NA,-0.155331198180613,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Ointment",11.6891241658704,0,0.498537492550051,0.330761110278228,0.66741559226961,TRUE,TRUE,TRUE,TRUE,"Rejected"
"3","Nasal_breathing_therapy_Ointment",-4.39149624273318,0,-0.157979732297028,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Ointment",-4.12723672627581,0,-0.18522656207241,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Operation",NA,NA,-0.140432697793246,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Operation",NA,NA,-0.156362741776156,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Operation",NA,NA,-0.162669719277814,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Operation",NA,NA,0.459465158847216,0,0.191941908660562,FALSE,TRUE,FALSE,TRUE,"Rejected"
"1","Nasal_breathing_therapy_Operation.planned",NA,NA,-0.243392150065539,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Operation.planned",7.38677350624945,0,0.666618606351769,0,0.122918431646559,TRUE,TRUE,FALSE,TRUE,"Rejected"
"3","Nasal_breathing_therapy_Operation.planned",-2.10874241023872,0,-0.206468342610645,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Operation.planned",-1.52860719495225,0,-0.216758113675585,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal_breathing_therapy_Radio.wave.therapy",NA,NA,-0.177021005389071,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Nasal_breathing_therapy_Radio.wave.therapy",NA,NA,-0.178195693691642,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Radio.wave.therapy",NA,NA,-0.139817456505315,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal_breathing_therapy_Radio.wave.therapy",NA,NA,0.495034155586027,0,0.194367098817099,FALSE,TRUE,FALSE,TRUE,"Rejected"
"1","Nasal_breathing_therapy_Red.light.therapy",NA,NA,0.7869036891585,0.547827174368022,1.51208178708651,FALSE,TRUE,TRUE,TRUE,"Rejected"
"2","Nasal_breathing_therapy_Red.light.therapy",-13.2491264262282,0,-0.278223507656647,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Nasal_breathing_therapy_Red.light.therapy",-10.9987413161465,0,-0.214210877459203,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
